escenario,operacion,t_rel_s,latencia_ms,servicio_ms,espera_cola_ms,estado,bytes,error
resistencia,abrir ficha,50.231,12.16,10.72,1.44,200,1291,
resistencia,listar libreta,50.324,29.43,28.36,1.07,200,64650,
resistencia,resumen,50.329,60.78,60.25,0.53,200,229,
resistencia,etiquetas,50.576,16.81,15.96,0.84,200,236,
resistencia,buscar por texto,51.037,34.46,33.8,0.65,200,32120,
resistencia,etiquetas,51.117,15.75,15.47,0.28,200,236,
resistencia,buscar por texto,51.141,31.96,31.36,0.6,200,32233,
resistencia,resumen,51.143,57.77,56.67,1.1,200,229,
resistencia,resumen,51.48,57.98,57.38,0.6,200,229,
resistencia,resumen,51.561,58.22,57.84,0.38,200,229,
resistencia,buscar por texto,51.871,33.45,32.24,1.21,200,32168,
resistencia,buscar por texto,51.977,34.07,32.81,1.26,200,32176,
resistencia,resumen,52.317,58.24,57.59,0.65,200,229,
resistencia,listar libreta,52.448,24.1,23.3,0.8,200,64659,
resistencia,filtrar,52.471,22.14,21.38,0.76,200,32264,
resistencia,resumen,52.475,57.76,57.55,0.21,200,229,
resistencia,etiquetas,52.503,14.94,14.26,0.68,200,236,
resistencia,resumen,52.533,56.79,55.96,0.82,200,229,
resistencia,listar libreta,52.635,26.62,25.83,0.79,200,64650,
resistencia,etiquetas,52.661,14.75,14.51,0.25,200,236,
resistencia,buscar por texto,52.956,34.86,33.97,0.89,200,32147,
resistencia,abrir ficha,53.272,12.26,11.7,0.56,200,1261,
resistencia,resumen,53.385,59.96,58.9,1.06,200,229,
resistencia,listar libreta,53.503,82.81,80.69,2.12,200,64650,
resistencia,resumen,53.79,61.13,58.88,2.25,200,229,
resistencia,buscar por texto,54.646,33.38,31.4,1.98,200,31997,
resistencia,filtrar,55.072,28.41,27.78,0.62,200,32302,
resistencia,historial de la ficha,55.242,14.9,12.8,2.1,200,9383,
resistencia,buscar por texto,55.252,34.74,33.58,1.15,200,32078,
resistencia,etiquetas,55.797,18.2,17.31,0.89,200,236,
resistencia,abrir ficha,55.891,11.6,11.26,0.34,200,1275,
resistencia,abrir ficha,56.288,14.33,13.08,1.24,200,1279,
resistencia,etiquetas,56.469,17.47,16.27,1.2,200,236,
resistencia,listar libreta,56.554,29.94,28.97,0.96,200,64619,
resistencia,buscar por texto,56.661,54.69,53.62,1.07,200,31997,
resistencia,historial de la ficha,56.687,14.12,13.38,0.74,200,3337,
resistencia,listar libreta,57.226,37.24,36.07,1.17,200,64619,
resistencia,resumen,57.357,58.27,57.07,1.21,200,229,
resistencia,buscar por texto,57.51,32.92,32.46,0.46,200,32149,
resistencia,buscar por texto,57.582,32.19,31.72,0.48,200,32262,
resistencia,resumen,57.704,57.3,56.91,0.39,200,229,
resistencia,buscar por texto,57.847,32.69,32.35,0.34,200,32149,
resistencia,buscar por texto,58.134,33.34,32.11,1.23,200,32233,
resistencia,etiquetas,58.264,15.18,14.88,0.3,200,236,
resistencia,resumen,58.297,56.74,55.43,1.31,200,229,
resistencia,etiquetas,58.309,14.08,13.85,0.23,200,236,
resistencia,duplicados,58.388,2210.1,2209.02,1.07,200,1470900,
resistencia,listar libreta,59.14,55.59,54.45,1.14,200,64650,
resistencia,resumen,59.315,101.46,100.51,0.96,200,229,
resistencia,resumen,59.494,147.33,146.13,1.19,200,229,
resistencia,abrir ficha,59.576,24.2,23.7,0.5,200,1270,
resistencia,resumen,59.732,199.85,199.1,0.76,200,229,
resistencia,listar libreta,59.825,96.9,96.18,0.72,200,64659,
resistencia,historial de la ficha,59.845,33.25,31.47,1.78,200,8584,
resistencia,buscar por texto,60.108,500.97,500.04,0.93,200,32231,
resistencia,resumen,60.23,340.75,340.01,0.74,200,229,
resistencia,buscar por texto,60.272,347.63,346.98,0.65,200,32169,
resistencia,resumen,60.273,254.08,253.58,0.5,200,229,
resistencia,listar libreta,60.9,26.03,25.4,0.63,200,64619,
resistencia,resumen,61.052,59.31,58.07,1.24,200,229,
resistencia,filtrar,61.187,25.84,24.63,1.21,200,32264,
resistencia,listar libreta,61.319,31.1,30.35,0.75,200,64619,
resistencia,etiquetas,61.329,21.44,20.24,1.2,200,236,
resistencia,filtrar,61.448,24.52,23.3,1.22,200,32184,
resistencia,listar libreta,61.577,26.16,24.99,1.17,200,64619,
resistencia,listar libreta,61.678,38.07,36.83,1.24,200,64659,
resistencia,abrir ficha,61.692,14.99,14.76,0.23,200,1287,
resistencia,resumen,61.729,58.58,56.99,1.58,200,229,
resistencia,resumen,61.864,58.59,58.04,0.55,200,229,
resistencia,buscar por texto,61.997,34.97,33.78,1.19,200,32120,
resistencia,listar libreta,62.193,27.22,26.33,0.89,200,64478,
resistencia,resumen,62.305,57.7,57.05,0.65,200,229,
resistencia,listar libreta,62.462,25.82,24.89,0.94,200,64659,
resistencia,buscar por texto,62.845,34.81,33.85,0.96,200,32059,
resistencia,listar libreta,63.11,27.09,26.61,0.48,200,64619,
resistencia,buscar por texto,63.233,31.53,31.07,0.46,200,32311,
resistencia,etiquetas,63.456,18.1,17.37,0.73,200,236,
resistencia,abrir ficha,63.563,12.55,11.45,1.1,200,1272,
resistencia,abrir ficha,63.601,11.74,10.27,1.46,200,1288,
resistencia,abrir ficha,63.783,12.32,11.48,0.85,200,1292,
resistencia,filtrar,64.063,26.77,25.27,1.5,200,32264,
resistencia,filtrar,64.259,30.13,29.08,1.06,200,32448,
resistencia,resumen,64.476,63.23,62.74,0.49,200,229,
resistencia,buscar por texto,64.499,35.16,34.37,0.79,200,32149,
resistencia,listar libreta,65.035,27.54,26.66,0.88,200,64659,
resistencia,listar libreta,65.471,28.89,26.71,2.18,200,64619,
resistencia,buscar por texto,65.5,45.91,45.1,0.81,200,32120,
resistencia,listar libreta,65.507,27.88,26.83,1.05,200,64478,
resistencia,listar libreta,66.023,35.85,33.34,2.5,200,64650,
resistencia,resumen,66.029,66.81,65.71,1.1,200,229,
resistencia,listar libreta,66.108,26.99,25.18,1.8,200,64659,
resistencia,listar libreta,66.155,24.58,23.4,1.18,200,64650,
resistencia,abrir ficha,66.324,11.89,10.51,1.38,200,1283,
resistencia,buscar por texto,66.343,33.62,32.95,0.67,200,32093,
resistencia,resumen,66.611,63.58,63.07,0.51,200,229,
resistencia,resumen,67.013,65.62,64.36,1.25,200,229,
resistencia,resumen,67.144,66.11,65.37,0.75,200,229,
resistencia,listar libreta,67.167,27.31,26.55,0.77,200,64478,
resistencia,etiquetas,67.243,16.73,16.13,0.6,200,236,
resistencia,buscar por texto,67.688,36.62,35.41,1.22,200,32093,
resistencia,abrir ficha,67.806,11.37,10.57,0.8,200,1273,
resistencia,etiquetas,67.842,15.51,14.43,1.08,200,236,
resistencia,listar libreta,67.936,23.48,23.26,0.22,200,64659,
resistencia,buscar por texto,67.997,31.72,30.75,0.97,200,32081,
resistencia,filtrar,68.158,23.96,23.25,0.71,200,32184,
resistencia,buscar por texto,68.245,32.59,32.18,0.41,200,32149,
resistencia,buscar por texto,68.414,33.44,32.23,1.21,200,32111,
resistencia,listar libreta,68.698,25.08,24.39,0.68,200,64619,
resistencia,listar libreta,68.861,24.37,23.64,0.73,200,64478,
resistencia,resumen,69.225,59.19,58.31,0.88,200,229,
resistencia,resumen,69.258,63.72,62.69,1.02,200,229,
resistencia,listar libreta,69.282,26.6,25.59,1.01,200,64478,
resistencia,resumen,69.309,62.73,62.31,0.43,200,229,
resistencia,listar libreta,69.318,27.98,27.3,0.68,200,64659,
resistencia,resumen,69.348,57.41,57.13,0.28,200,229,
resistencia,etiquetas,69.545,18.75,17.73,1.02,200,236,
resistencia,abrir ficha,69.599,14.8,12.65,2.15,200,1283,
resistencia,listar libreta,69.787,29.0,28.54,0.46,200,64478,
resistencia,resumen,69.914,63.55,62.41,1.14,200,229,
resistencia,etiquetas,69.926,18.7,17.72,0.98,200,236,
resistencia,buscar por texto,69.953,35.03,33.75,1.27,200,32140,
resistencia,resumen,70.273,60.16,58.61,1.55,200,229,
resistencia,resumen,70.508,60.6,58.38,2.22,200,229,
resistencia,resumen,70.632,60.34,59.73,0.61,200,229,
resistencia,listar libreta,70.688,26.5,26.16,0.35,200,64659,
resistencia,abrir ficha,70.806,10.51,10.14,0.38,200,1285,
resistencia,buscar por texto,70.839,33.16,32.42,0.74,200,32098,
resistencia,etiquetas,70.92,16.95,16.0,0.95,200,236,
resistencia,duplicados,70.948,2490.31,2489.52,0.79,200,1470900,
resistencia,abrir ficha,70.977,14.51,14.0,0.52,200,1277,
resistencia,resumen,71.167,273.35,272.54,0.81,200,229,
resistencia,resumen,71.241,248.7,247.28,1.42,200,229,
